Hotel_Name,Room_Type,Room_Price,Top_Comment,Rating,Total_Reviews,Hotel_Link
Raviz Center Point Hotel,Standard Double or Twin Room,"PKR 42,424",Good,7.2,"1,337 reviews",https://www.booking.com/hotel/ae/raviz-center-point.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=122545102_88789998_0_42_0&highlighted_blocks=122545102_88789998_0_42_0&matching_block_id=122545102_88789998_0_42_0&sr_pri_blocks=122545102_88789998_0_42_0__58800&tpi_r=2&from=searchresults#hotelTmpl
Barsha Star Residence - Home Stay,Double or Twin Room with Private Bathroom,"PKR 13,781",Review score,5.6,704 reviews,https://www.booking.com/hotel/ae/barsha-star-residence.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=783351905_367379677_2_0_0&highlighted_blocks=783351905_367379677_2_0_0&matching_block_id=783351905_367379677_2_0_0&sr_pri_blocks=783351905_367379677_2_0_0__19100&tpi_r=2&from=searchresults#hotelTmpl
Al Badaa Star Residence - Home Stay,Double or Twin Room with Private External Bathroom,"PKR 12,410",Review score,5.9,307 reviews,https://www.booking.com/hotel/ae/al-badaa-star-residence.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=730573602_367378469_2_0_0&highlighted_blocks=730573602_367378469_2_0_0&matching_block_id=730573602_367378469_2_0_0&sr_pri_blocks=730573602_367378469_2_0_0__17200&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"easyHotel Jebel Ali, Dubai",Standard Internal Room,"PKR 11,618",Review score,5.9,"1,294 reviews",https://www.booking.com/hotel/ae/easy-jebel-ali.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=50415003_368326005_0_2_0&highlighted_blocks=50415003_368326005_0_2_0&matching_block_id=50415003_368326005_0_2_0&sr_pri_blocks=50415003_368326005_0_2_0__16102&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
MK Residence by Be Our Guest,Superior Studio,"PKR 22,130",Review score,6.8,113 reviews,https://www.booking.com/hotel/ae/mk-residence-by-be-our-guest.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=922520501_366155653_2_0_0&highlighted_blocks=922520501_366155653_2_0_0&matching_block_id=922520501_366155653_2_0_0&sr_pri_blocks=922520501_366155653_2_0_0__30672&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
BOONMAX Hotel,Deluxe Twin Room,"PKR 8,748",Review score,5.3,"1,261 reviews",https://www.booking.com/hotel/ae/boonmax-llc.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=907260002_361791356_2_2_0&highlighted_blocks=907260002_361791356_2_2_0&matching_block_id=907260002_361791356_2_2_0&sr_pri_blocks=907260002_361791356_2_2_0__12125&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
MRA Grand Hotel,Deluxe Double or Twin Room,"PKR 11,544",Review score,6.2,476 reviews,https://www.booking.com/hotel/ae/mra-grand.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=891305901_367024207_0_42_0&highlighted_blocks=891305901_367024207_0_42_0&matching_block_id=891305901_367024207_0_42_0&sr_pri_blocks=891305901_367024207_0_42_0__16000&tpi_r=2&from=searchresults#hotelTmpl
Jonrad Hotel,Double or Twin Room,"PKR 15,422",Review score,5.0,225 reviews,https://www.booking.com/hotel/ae/jonrad.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=24463402_275989231_0_0_0&highlighted_blocks=24463402_275989231_0_0_0&matching_block_id=24463402_275989231_0_0_0&sr_pri_blocks=24463402_275989231_0_0_0__21375&tpi_r=2&from=searchresults#hotelTmpl
Ibis Styles Dragon Mart Dubai,Standard Twin Room,"PKR 25,083",Good,7.3,"3,157 reviews",https://www.booking.com/hotel/ae/ibis-styles-dragon-mart-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=158845704_91396296_2_42_0&highlighted_blocks=158845704_91396296_2_42_0&matching_block_id=158845704_91396296_2_42_0&sr_pri_blocks=158845704_91396296_2_42_0__34765&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Claridge Hotel - Dubai,Standard Twin Room,"PKR 11,371",Review score,5.5,"1,102 reviews",https://www.booking.com/hotel/ae/claridge-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=26250605_0_2_0_0&highlighted_blocks=26250605_0_2_0_0&matching_block_id=26250605_0_2_0_0&sr_pri_blocks=26250605_0_2_0_0__15760&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
